episode_num,ep_ext_reward,ep_int_reward,ep_success,ep_steps
0,0.0,0.71,0,56
1,0.0,0.27,0,11
2,0.0,1.38,0,66
3,0.0,0.09,0,5
4,0.0,0.03,0,2
5,0.0,0.59,0,38
6,0.0,0.65,0,38
7,0.0,2.15,0,105
8,0.0,0.03,0,2
9,0.0,0.27,0,8
10,0.0,0.53,0,37
11,0.0,0.59,0,28
12,0.0,0.91,0,71
13,0.0,0.27,0,13
14,0.0,1.77,0,117
15,0.0,1.09,0,68
16,0.0,0.27,0,10
17,0.0,0.52,0,33
18,0.0,0.03,0,2
19,0.0,0.88,0,35
20,0.0,0.17,0,6
21,0.0,1.0,0,65
22,0.0,0.5,0,25
23,0.0,0.89,0,76
24,0.0,0.46,0,25
25,0.0,1.94,0,102
26,0.0,0.22,0,8
27,0.0,0.65,0,29
28,0.0,0.95,0,41
29,0.0,1.6,0,84
30,0.0,4.29,0,252
31,0.0,1.11,0,72
32,0.0,0.41,0,22
33,0.0,0.65,0,31
34,0.0,1.12,0,48
35,0.0,2.74,0,137
36,0.0,2.06,0,88
37,0.0,2.22,0,116
38,0.61071426,2.01,1,109
39,0.0,0.19,0,6
40,0.0,0.75,0,30
41,0.0,2.52,0,156
42,0.0,1.23,0,54
43,0.0,0.85,0,33
44,0.0,0.71,0,28
45,0.0,0.71,0,39
46,0.0,0.03,0,2
47,0.0,0.49,0,18
48,0.0,1.18,0,54
49,0.0,1.47,0,63
50,0.0,0.32,0,11
51,0.0,1.38,0,63
52,0.0,1.58,0,92
53,0.0,0.03,0,2
54,0.0,1.22,0,59
55,0.62857145,1.76,1,104
56,0.0,1.11,0,39
57,0.0,0.03,0,2
58,0.0,2.17,0,95
59,0.0,1.29,0,62
60,0.0,4.88,0,252
61,0.0,4.57,0,252
62,0.0,3.59,0,166
63,0.0,0.48,0,23
64,0.0,3.86,0,187
65,0.0,1.39,0,60
66,0.0,0.03,0,2
67,0.0,0.49,0,24
68,0.0,0.67,0,28
69,0.0,4.67,0,252
70,0.0,4.58,0,252
71,0.0,4.17,0,252
72,0.0,4.45,0,252
73,0.0,4.39,0,252
74,0.0,4.69,0,252
75,0.0,2.96,0,187
76,0.0,4.01,0,252
77,0.0,4.5,0,211
78,0.0,4.75,0,252
79,0.0,4.55,0,252
80,0.0,2.48,0,140
81,0.0,5.01,0,252
82,0.0,0.52,0,22
83,0.0,0.88,0,55
84,0.0,3.56,0,160
85,0.0,5.19,0,252
86,0.0,0.2,0,9
87,0.0,5.22,0,252
88,0.0,4.67,0,252
89,0.0,4.61,0,252
90,0.0,3.61,0,252
91,0.0,4.14,0,252
92,0.0,3.7,0,252
93,0.0,4.5,0,252
94,0.0,4.76,0,252
95,0.0,4.33,0,252
96,0.0,4.51,0,252
97,0.0,5.06,0,252
98,0.0,5.31,0,252
99,0.0,5.56,0,252
100,0.0,5.57,0,252
101,0.0,5.2,0,252
102,0.0,5.35,0,252
103,0.0,5.52,0,252
104,0.0,5.73,0,252
105,0.0,5.64,0,252
106,0.0,4.87,0,252
107,0.0,5.11,0,252
108,0.0,4.99,0,252
109,0.0,5.16,0,252
110,0.0,5.5,0,252
111,0.0,5.47,0,252
112,0.0,5.4,0,252
113,0.0,6.06,0,239
114,0.0,2.74,0,129
115,0.0,4.9,0,204
116,0.0,1.76,0,88
117,0.0,3.84,0,175
118,0.0,1.28,0,43
119,0.0,3.48,0,139
120,0.0,0.6,0,25
121,0.0,1.22,0,41
122,0.0,5.5,0,200
123,0.0,1.22,0,43
124,0.0,4.58,0,152
125,0.0,1.42,0,51
126,0.0,8.62,0,227
127,0.0,6.24,0,179
128,0.0,2.72,0,73
129,0.0,6.84,0,252
130,0.0,1.93,0,252
131,0.0,1.36,0,252
132,0.0,2.18,0,245
133,0.0,8.19,0,252
134,0.0,0.75,0,252
135,0.0,0.61,0,252
136,0.0,1.05,0,252
137,0.0,0.45,0,252
138,0.0,1.25,0,252
139,0.0,0.85,0,252
140,0.0,1.01,0,252
141,0.0,1.55,0,252
142,0.0,7.25,0,252
143,0.0,5.39,0,252
144,0.0,6.05,0,252
145,0.0,6.47,0,252
146,0.0,3.63,0,252
147,0.0,4.31,0,252
