episode_num,ep_ext_reward,ep_int_reward,ep_success,ep_steps
0,0.0,3.79,0,256
1,0.4621094,1.55,1,153
2,0.57109374,1.66,1,122
3,0.0,3.1,0,256
4,0.5816406,1.51,1,119
5,0.28984374,2.78,1,202
6,0.0,2.81,0,256
7,0.0,3.56,0,256
8,0.0,3.27,0,256
9,0.0,3.29,0,256
10,0.0,4.41,0,256
11,0.17382812,4.23,1,235
12,0.0,4.59,0,256
13,0.0,4.38,0,256
14,0.0,4.82,0,256
15,0.49726564,2.77,1,143
16,0.0,4.54,0,256
17,0.0,4.34,0,256
18,0.2722656,4.37,1,207
19,0.31445312,3.36,1,195
20,0.6625,1.91,1,96
21,0.16328125,4.66,1,238
22,0.5253906,2.71,1,135
23,0.39882812,3.31,1,171
24,0.0,4.73,0,256
25,0.82773435,0.95,1,49
26,0.75742185,1.17,1,69
27,0.325,3.54,1,192
28,0.0,4.48,0,256
29,0.27578124,3.63,1,206
30,0.50078124,2.69,1,142
31,0.7398437,1.26,1,74
32,0.7679688,1.29,1,66
33,0.26875,3.77,1,208
34,0.8136719,1.03,1,53
35,0.77851564,1.07,1,63
36,0.84882814,0.47,1,43
37,0.7609375,1.13,1,68
38,0.12460937,3.82,1,249
39,0.0,3.22,0,256
40,0.0,2.99,0,256
41,0.0,2.34,0,256
42,0.26171875,2.61,1,210
43,0.44453126,1.91,1,158
44,0.0,2.6,0,256
45,0.20546874,2.84,1,226
46,0.0,3.54,0,256
47,0.775,0.83,1,64
48,0.61328125,1.57,1,110
49,0.0,2.54,0,256
50,0.0,2.26,0,256
51,0.0,2.12,0,256
52,0.0,2.06,0,256
53,0.50078124,1.99,1,142
54,0.0,2.28,0,256
55,0.0,2.65,0,256
56,0.0,2.12,0,256
57,0.35664064,1.63,1,183
58,0.0,1.44,0,256
59,0.0,1.38,0,256
60,0.6238281,1.2,1,107
61,0.0,2.04,0,256
62,0.0,2.04,0,256
63,0.26171875,2.03,1,210
64,0.0,1.56,0,256
65,0.0,1.7,0,256
66,0.0,1.44,0,256
67,0.8628906,0.41,1,39
68,0.0,1.39,0,256
69,0.0,1.5,0,256
70,0.0,1.06,0,256
71,0.0,1.46,0,256
72,0.22304687,1.53,1,221
73,0.0,1.16,0,256
74,0.0,1.02,0,256
75,0.0,0.82,0,256
76,0.0,1.85,0,256
77,0.0,3.51,0,256
78,0.0,3.1,0,256
79,0.0,2.43,0,256
80,0.6765625,1.47,1,92
81,0.27929688,3.41,1,205
82,0.55,1.8,1,128
83,0.64140624,1.83,1,102
84,0.72929686,1.2,1,77
85,0.9472656,0.13,1,15
86,0.5640625,1.86,1,124
87,0.86992186,0.66,1,37
88,0.8066406,0.77,1,55
89,0.60976565,1.45,1,111
90,0.82421875,0.53,1,50
91,0.8066406,0.75,1,55
92,0.82070315,0.7,1,51
93,0.5324219,1.55,1,133
94,0.43046874,2.55,1,162
95,0.775,0.79,1,64
96,0.79609376,0.65,1,58
97,0.54648435,2.03,1,129
98,0.92265624,0.37,1,22
99,0.40585938,2.39,1,169
100,0.65546876,1.36,1,98
101,0.9085938,0.33,1,26
102,0.8769531,0.61,1,35
103,0.746875,1.07,1,72
104,0.8839844,0.45,1,33
105,0.6695312,1.27,1,94
106,0.85234374,0.83,1,42
107,0.78203124,0.87,1,62
108,0.8628906,0.59,1,39
109,0.9472656,0.15,1,15
110,0.9085938,0.29,1,26
111,0.6027344,1.79,1,113
112,0.5992187,1.71,1,114
113,0.85234374,0.69,1,42
114,0.6273438,1.49,1,106
115,0.6730469,1.25,1,93
116,0.71875,0.87,1,80
117,0.0,2.95,0,256
118,0.82070315,0.65,1,51
119,0.79609376,0.57,1,58
120,0.0,2.6,0,256
121,0.8066406,0.67,1,55
122,0.8347656,0.67,1,47
123,0.6730469,1.15,1,93
124,0.94023436,0.19,1,17
125,0.0,2.95,0,256
126,0.8558594,0.51,1,41
127,0.7328125,0.65,1,76
128,0.94023436,0.19,1,17
129,0.30039063,3.19,1,199
130,0.78203124,0.75,1,62
131,0.82421875,0.29,1,50
132,0.9050781,0.39,1,27
133,0.48671874,1.95,1,146
134,0.65898436,0.91,1,97
135,0.915625,0.23,1,24
136,0.9296875,0.29,1,20
137,0.84882814,0.47,1,43
138,0.35664064,2.11,1,183
139,0.8558594,0.47,1,41
140,0.72929686,1.19,1,77
141,0.8875,0.49,1,32
142,0.7925781,0.81,1,59
143,0.49726564,1.93,1,143
144,0.54648435,1.67,1,129
145,0.89453125,0.45,1,30
146,0.7046875,1.45,1,84
147,0.803125,1.11,1,56
148,0.86640626,0.49,1,38
149,0.86640626,0.35,1,38
150,0.7679688,0.95,1,66
151,0.79609376,0.79,1,58
152,0.65898436,1.1,1,97
153,0.7152344,1.07,1,81
154,0.7046875,1.17,1,84
155,0.9121094,0.35,1,25
156,0.77851564,1.03,1,63
157,0.13867188,2.81,1,245
158,0.30039063,2.26,1,199
159,0.7609375,1.09,1,68
160,0.8839844,0.41,1,33
161,0.84882814,0.47,1,43
162,0.83125,0.61,1,48
163,0.9472656,0.09,1,15
164,0.8875,0.35,1,32
165,0.7609375,0.71,1,68
166,0.8347656,0.65,1,47
167,0.9507812,0.13,1,14
168,0.7011719,1.13,1,85
169,0.71171874,0.91,1,82
170,0.9121094,0.23,1,25
171,0.7890625,0.53,1,60
172,0.9296875,0.19,1,20
173,0.915625,0.21,1,24
174,0.9261719,0.19,1,21
175,0.56757814,1.41,1,123
176,0.7398437,0.71,1,74
177,0.6941406,1.01,1,87
178,0.68007815,0.73,1,91
179,0.83125,0.69,1,48
180,0.64140624,1.31,1,102
181,0.7363281,0.83,1,75
182,0.9472656,0.13,1,15
183,0.79960936,0.71,1,57
184,0.77851564,0.79,1,63
185,0.8769531,0.49,1,35
186,0.30039063,2.11,1,199
187,0.0,1.74,0,256
188,0.72578126,0.51,1,78
189,0.47617188,1.27,1,149
190,0.5253906,0.97,1,135
191,0.6027344,0.95,1,113
192,0.89804685,0.35,1,29
193,0.7609375,0.73,1,68
194,0.9050781,0.21,1,27
195,0.9015625,0.32,1,28
196,0.96132815,0.09,1,11
197,0.0,1.77,0,256
198,0.94375,0.15,1,16
199,0.0,1.88,0,256
200,0.7714844,0.29,1,65
201,0.5535156,1.22,1,127
202,0.8769531,0.25,1,35
203,0.89804685,0.23,1,29
204,0.30390626,2.11,1,198
205,0.91914064,0.29,1,23
206,0.9121094,0.35,1,25
207,0.93671876,0.23,1,18
208,0.9261719,0.17,1,21
209,0.4234375,0.91,1,164
210,0.7679688,0.37,1,66
211,0.47617188,1.11,1,149
212,0.34609374,1.31,1,186
213,0.9085938,0.31,1,26
214,0.33203125,1.59,1,190
215,0.86992186,0.21,1,37
216,0.83125,0.33,1,48
217,0.96132815,0.09,1,11
218,0.7679688,0.45,1,66
219,0.6308594,0.59,1,105
220,0.0,0.62,0,256
221,0.38125,0.21,1,176
222,0.5921875,0.61,1,116
223,0.0,0.6,0,256
224,0.9472656,0.09,1,15
225,0.72578126,0.29,1,78
226,0.64140624,0.61,1,102
227,0.7363281,0.33,1,75
228,0.94023436,0.09,1,17
229,0.8382813,0.27,1,46
230,0.6660156,0.49,1,95
231,0.9542969,0.09,1,13
232,0.82773435,0.39,1,49
233,0.7328125,0.31,1,76
234,0.9507812,0.13,1,14
235,0.9472656,0.11,1,15
236,0.6449219,0.63,1,101
237,0.9332031,0.13,1,19
238,0.83125,0.29,1,48
239,0.9121094,0.25,1,25
240,0.60976565,0.43,1,111
241,0.8804687,0.21,1,34
242,0.6976563,0.35,1,86
243,0.8453125,0.17,1,44
244,0.9472656,0.09,1,15
245,0.9542969,0.09,1,13
246,0.9542969,0.09,1,13
247,0.38476562,1.15,1,175
248,0.96132815,0.09,1,11
249,0.86640626,0.29,1,38
250,0.8804687,0.35,1,34
251,0.89101565,0.27,1,31
252,0.9332031,0.19,1,19
253,0.92265624,0.19,1,22
254,0.9542969,0.15,1,13
255,0.9050781,0.13,1,27
256,0.8804687,0.29,1,34
257,0.71875,0.47,1,80
258,0.859375,0.47,1,40
259,0.8417969,0.31,1,45
260,0.5042969,0.93,1,141
261,0.8347656,0.33,1,47
262,0.915625,0.27,1,24
263,0.9296875,0.15,1,20
264,0.93671876,0.19,1,18
265,0.96132815,0.09,1,11
266,0.9332031,0.19,1,19
267,0.7363281,0.75,1,75
268,0.9507812,0.09,1,14
269,0.92265624,0.19,1,22
270,0.7152344,0.77,1,81
271,0.9507812,0.09,1,14
272,0.91914064,0.31,1,23
273,0.6484375,1.05,1,100
274,0.8558594,0.41,1,41
275,0.89101565,0.23,1,31
276,0.89453125,0.21,1,30
277,0.8769531,0.35,1,35
278,0.915625,0.29,1,24
279,0.8171875,0.41,1,52
280,0.9507812,0.09,1,14
281,0.9578125,0.09,1,12
282,0.8769531,0.43,1,35
283,0.86640626,0.33,1,38
284,0.8101562,0.53,1,54
285,0.96132815,0.09,1,11
286,0.9332031,0.15,1,19
287,0.8839844,0.37,1,33
288,0.89453125,0.31,1,30
289,0.96132815,0.09,1,11
290,0.859375,0.21,1,40
291,0.9542969,0.13,1,13
292,0.9507812,0.15,1,14
293,0.6027344,0.95,1,113
294,0.9085938,0.21,1,26
295,0.9578125,0.09,1,12
296,0.803125,0.61,1,56
297,0.9121094,0.25,1,25
298,0.91914064,0.23,1,23
299,0.915625,0.29,1,24
300,0.89453125,0.21,1,30
301,0.9507812,0.09,1,14
302,0.96132815,0.09,1,11
303,0.9472656,0.09,1,15
304,0.859375,0.33,1,40
305,0.8382813,0.45,1,46
306,0.89453125,0.41,1,30
307,0.96132815,0.09,1,11
308,0.9261719,0.23,1,21
309,0.9261719,0.17,1,21
310,0.8734375,0.35,1,36
311,0.93671876,0.15,1,18
312,0.8171875,0.57,1,52
313,0.85234374,0.41,1,42
314,0.8558594,0.45,1,41
315,0.96132815,0.09,1,11
316,0.8804687,0.39,1,34
317,0.9015625,0.33,1,28
318,0.8734375,0.43,1,36
319,0.86992186,0.49,1,37
320,0.9472656,0.09,1,15
321,0.8558594,0.47,1,41
322,0.8066406,0.59,1,55
323,0.96132815,0.09,1,11
324,0.92265624,0.27,1,22
325,0.96132815,0.09,1,11
326,0.92265624,0.23,1,22
327,0.96132815,0.09,1,11
328,0.8839844,0.41,1,33
329,0.8171875,0.61,1,52
330,0.94023436,0.25,1,17
331,0.9578125,0.09,1,12
332,0.89101565,0.38,1,31
333,0.8101562,0.63,1,54
334,0.96132815,0.09,1,11
335,0.77851564,0.51,1,63
336,0.86992186,0.53,1,37
337,0.89453125,0.47,1,30
338,0.60976565,1.37,1,111
339,0.75742185,0.81,1,69
340,0.58867186,1.19,1,117
341,0.64140624,1.19,1,102
342,0.8839844,0.45,1,33
343,0.634375,1.13,1,104
344,0.82421875,0.55,1,50
345,0.8769531,0.31,1,35
346,0.5113281,1.41,1,139
347,0.8558594,0.57,1,41
348,0.7398437,0.93,1,74
349,0.86992186,0.59,1,37
350,0.5921875,1.37,1,116
351,0.72578126,0.85,1,78
352,0.2546875,2.31,1,212
353,0.775,0.59,1,64
354,0.61328125,1.6,1,110
355,0.3214844,2.11,1,193
356,0.9507812,0.09,1,14
357,0.47617188,1.55,1,149
358,0.6660156,1.07,1,95
359,0.3671875,1.77,1,180
360,0.7609375,0.59,1,68
361,0.7398437,0.73,1,74
362,0.78203124,0.57,1,62
363,0.47617188,1.29,1,149
364,0.746875,0.79,1,72
365,0.6027344,0.69,1,113
366,0.34609374,1.75,1,186
367,0.47617188,1.31,1,149
368,0.65546876,0.95,1,98
369,0.8453125,0.41,1,44
370,0.7644531,0.65,1,67
371,0.7644531,0.43,1,67
372,0.8347656,0.29,1,47
373,0.1,1.75,1,256
374,0.94375,0.19,1,16
375,0.7609375,0.55,1,68
376,0.36367187,0.99,1,181
377,0.0,1.52,0,256
378,0.5746094,1.23,1,121
379,0.8734375,0.23,1,36
380,0.578125,0.84,1,120
381,0.8171875,0.71,1,52
382,0.72578126,0.73,1,78
383,0.91914064,0.19,1,23
384,0.96132815,0.09,1,11
385,0.5253906,1.29,1,135
386,0.89804685,0.33,1,29
387,0.915625,0.16,1,24
388,0.86992186,0.29,1,37
389,0.7925781,0.71,1,59
390,0.8382813,0.37,1,46
391,0.6660156,0.89,1,95
392,0.9085938,0.25,1,26
393,0.89453125,0.37,1,30
394,0.79960936,0.57,1,57
395,0.128125,1.73,1,248
396,0.48671874,1.21,1,146
397,0.915625,0.19,1,24
398,0.9507812,0.13,1,14
399,0.8875,0.33,1,32
400,0.9121094,0.21,1,25
401,0.89804685,0.27,1,29
402,0.775,0.47,1,64
403,0.8558594,0.35,1,41
404,0.92265624,0.25,1,22
405,0.7855469,0.41,1,61
406,0.8875,0.41,1,32
407,0.4832031,1.31,1,147
408,0.9332031,0.23,1,19
409,0.4832031,0.95,1,147
410,0.9050781,0.29,1,27
411,0.53945315,1.47,1,131
412,0.7714844,0.59,1,65
413,0.8839844,0.21,1,33
414,0.82421875,0.57,1,50
415,0.82773435,0.63,1,49
416,0.4234375,1.59,1,164
417,0.6660156,1.05,1,95
418,0.3917969,1.67,1,173
419,0.7328125,0.87,1,76
420,0.8347656,0.51,1,47
421,0.72578126,0.87,1,78
422,0.92265624,0.13,1,22
423,0.70820314,0.95,1,83
424,0.96132815,0.09,1,11
425,0.89804685,0.35,1,29
426,0.89101565,0.31,1,31
427,0.89804685,0.37,1,29
428,0.7714844,0.95,1,65
429,0.9332031,0.27,1,19
430,0.82070315,0.71,1,51
431,0.775,0.71,1,64
432,0.93671876,0.19,1,18
433,0.92265624,0.27,1,22
434,0.91914064,0.21,1,23
435,0.8558594,0.55,1,41
436,0.7398437,0.91,1,74
437,0.71171874,1.05,1,82
438,0.9507812,0.15,1,14
439,0.9050781,0.47,1,27
440,0.94023436,0.21,1,17
441,0.93671876,0.25,1,18
442,0.9507812,0.15,1,14
443,0.915625,0.27,1,24
444,0.93671876,0.25,1,18
445,0.96132815,0.09,1,11
446,0.94375,0.19,1,16
447,0.9542969,0.17,1,13
448,0.79609376,0.73,1,58
449,0.8804687,0.43,1,34
450,0.75742185,0.73,1,69
451,0.7152344,0.71,1,81
452,0.775,0.83,1,64
453,0.8558594,0.43,1,41
454,0.6308594,1.39,1,105
455,0.75742185,1.17,1,69
456,0.79609376,0.79,1,58
457,0.5957031,1.35,1,115
458,0.8804687,0.44,1,34
459,0.79609376,0.71,1,58
460,0.7046875,1.07,1,84
461,0.6730469,1.19,1,93
462,0.7714844,0.89,1,65
463,0.86992186,0.71,1,37
464,0.61679685,1.37,1,109
465,0.94023436,0.17,1,17
466,0.7398437,0.95,1,74
467,0.9578125,0.09,1,12
468,0.8453125,0.47,1,44
469,0.63789064,1.29,1,103
470,0.5253906,1.65,1,135
471,0.36015624,1.79,1,182
472,0.86992186,0.41,1,37
473,0.5816406,1.41,1,119
474,0.7328125,1.07,1,76
475,0.465625,2.15,1,152
476,0.6273438,1.47,1,106
477,0.34609374,1.79,1,186
478,0.7152344,1.07,1,81
479,0.7433594,0.79,1,73
480,0.13867188,2.41,1,245
481,0.4128906,2.29,1,167
482,0.61679685,0.84,1,109
483,0.84882814,0.57,1,43
484,0.84882814,0.51,1,43
485,0.3214844,2.23,1,193
486,0.31445312,2.47,1,195
487,0.0,3.32,0,256
488,0.58867186,1.19,1,117
489,0.28632814,2.49,1,203
490,0.9085938,0.23,1,26
491,0.65898436,1.19,1,97
492,0.47265625,2.29,1,150
493,0.85234374,0.55,1,42
494,0.68359375,1.27,1,90
495,0.56757814,1.59,1,123
496,0.5324219,1.79,1,133
497,0.82773435,0.83,1,49
498,0.13515624,3.01,1,246
499,0.5816406,1.61,1,119
500,0.7855469,0.87,1,61
501,0.2265625,3.29,1,220
502,0.51835936,2.05,1,137
503,0.85234374,0.55,1,42
504,0.71875,1.33,1,80
505,0.94375,0.17,1,16
506,0.72578126,1.33,1,78
507,0.7222656,0.95,1,79
508,0.78203124,0.89,1,62
509,0.4832031,2.25,1,147
510,0.746875,1.21,1,72
511,0.0,2.82,0,256
512,0.6625,1.25,1,96
513,0.4796875,1.63,1,148
514,0.17382812,3.23,1,235
515,0.0,3.36,0,256
516,0.21953125,2.09,1,222
517,0.7890625,0.97,1,60
518,0.55,1.57,1,128
519,0.58515626,1.55,1,118
520,0.0,3.24,0,256
521,0.12109375,3.41,1,250
522,0.41992188,2.03,1,165
523,0.9507812,0.11,1,14
524,0.5816406,1.65,1,119
525,0.93671876,0.15,1,18
526,0.6941406,1.33,1,87
527,0.3390625,1.89,1,188
528,0.8734375,0.45,1,36
529,0.0,3.31,0,256
530,0.0,2.82,0,256
531,0.5570313,1.37,1,126
532,0.2722656,2.97,1,207
533,0.78203124,0.99,1,62
534,0.0,3.8,0,256
535,0.7714844,0.91,1,65
536,0.5746094,1.81,1,121
537,0.51835936,1.87,1,137
538,0.75742185,0.97,1,69
539,0.8066406,0.74,1,55
540,0.6273438,1.67,1,106
541,0.5605469,1.79,1,125
542,0.79609376,0.63,1,58
543,0.8769531,0.45,1,35
544,0.8875,0.55,1,32
545,0.72929686,1.21,1,77
546,0.0,4.06,0,256
547,0.7679688,0.93,1,66
548,0.48671874,2.71,1,146
549,0.32851562,2.71,1,191
550,0.7363281,0.95,1,75
551,0.5640625,2.03,1,124
552,0.82070315,0.71,1,51
553,0.7644531,0.89,1,67
554,0.8453125,0.61,1,44
555,0.859375,0.69,1,40
556,0.75390625,0.93,1,70
557,0.61328125,1.65,1,110
558,0.6273438,1.67,1,106
559,0.8101562,0.55,1,54
560,0.68710935,1.08,1,89
561,0.65898436,1.47,1,97
562,0.78203124,0.77,1,62
563,0.746875,0.89,1,72
564,0.34960938,2.05,1,185
565,0.7925781,0.79,1,59
566,0.5253906,2.1,1,135
567,0.71875,0.96,1,80
568,0.8101562,0.77,1,54
569,0.775,0.73,1,64
570,0.71875,1.17,1,80
571,0.82773435,0.77,1,49
572,0.68007815,1.23,1,91
573,0.6449219,1.53,1,101
574,0.75039065,1.17,1,71
575,0.6660156,1.43,1,95
576,0.32851562,1.89,1,191
577,0.0,3.55,0,256
578,0.7609375,1.17,1,68
579,0.746875,1.21,1,72
580,0.68007815,1.55,1,91
581,0.8382813,0.61,1,46
582,0.6519531,1.5,1,99
583,0.9121094,0.29,1,25
584,0.1140625,3.81,1,252
585,0.79609376,0.54,1,58
586,0.82421875,0.71,1,50
587,0.13515624,2.99,1,246
588,0.803125,0.91,1,56
589,0.7363281,1.11,1,75
590,0.24765626,3.08,1,214
591,0.31445312,3.11,1,195
592,0.19492188,3.31,1,229
593,0.8347656,0.83,1,47
594,0.79609376,0.91,1,58
595,0.82773435,0.79,1,49
596,0.85234374,0.49,1,42
597,0.45507812,2.23,1,155
598,0.6730469,1.63,1,93
599,0.6449219,1.33,1,101
600,0.65546876,1.39,1,98
601,0.5605469,1.99,1,125
602,0.0,3.65,0,256
603,0.5992187,1.29,1,114
604,0.51484376,2.19,1,138
605,0.23710938,3.19,1,217
606,0.26523438,2.21,1,209
607,0.54296875,1.65,1,130
608,0.7855469,0.81,1,61
609,0.8769531,0.37,1,35
610,0.0,3.13,0,256
611,0.92265624,0.25,1,22
612,0.7644531,0.65,1,67
613,0.0,2.92,0,256
614,0.5605469,1.81,1,125
615,0.5957031,1.35,1,115
616,0.18789062,3.19,1,231
617,0.79960936,0.79,1,57
618,0.75390625,0.83,1,70
619,0.5992187,1.31,1,114
620,0.7644531,0.87,1,67
621,0.5570313,1.23,1,126
622,0.5535156,2.01,1,127
623,0.7152344,0.65,1,81
624,0.63789064,1.17,1,103
625,0.83125,0.45,1,48
626,0.0,3.27,0,256
627,0.0,2.93,0,256
628,0.65898436,1.11,1,97
629,0.5921875,1.23,1,116
630,0.0,2.23,0,256
631,0.31445312,2.21,1,195
632,0.77851564,0.83,1,63
633,0.0,2.58,0,256
634,0.34609374,2.65,1,186
635,0.78203124,0.81,1,62
636,0.55,1.71,1,128
637,0.746875,0.61,1,72
638,0.7890625,1.09,1,60
639,0.7398437,1.03,1,74
640,0.86640626,0.63,1,38
641,0.8136719,0.65,1,53
642,0.0,3.48,0,256
643,0.9050781,0.51,1,27
644,0.6484375,1.77,1,100
645,0.43046874,1.23,1,162
646,0.45859376,1.79,1,154
647,0.5816406,0.83,1,119
648,0.0,3.61,0,256
649,0.47617188,2.19,1,149
650,0.5992187,1.53,1,114
651,0.6730469,0.99,1,93
652,0.7714844,0.87,1,65
653,0.0,3.19,0,256
654,0.0,3.21,0,256
655,0.0,3.59,0,256
656,0.6273438,1.71,1,106
657,0.0,2.66,0,256
658,0.0,2.58,0,256
659,0.0,3.05,0,256
660,0.4621094,1.93,1,153
661,0.0,3.42,0,256
662,0.0,3.08,0,256
663,0.0,3.64,0,256
664,0.0,2.9,0,256
665,0.5746094,1.89,1,121
666,0.16679688,3.39,1,237
667,0.0,3.75,0,256
668,0.70820314,1.45,1,83
669,0.7855469,0.47,1,61
670,0.8804687,0.53,1,34
671,0.0,4.2,0,256
672,0.44101563,1.61,1,159
673,0.634375,1.63,1,104
674,0.9050781,0.47,1,27
675,0.68359375,1.31,1,90
676,0.71171874,1.47,1,82
677,0.19140625,2.35,1,230
678,0.0,2.09,0,256
679,0.58867186,2.01,1,117
680,0.0,3.99,0,256
681,0.8101562,0.91,1,54
682,0.64140624,1.41,1,102
683,0.6027344,1.67,1,113
684,0.4234375,2.27,1,164
685,0.53945315,2.15,1,131
686,0.296875,2.33,1,200
687,0.0,0.75,0,256
688,0.0,4.03,0,256
689,0.60976565,1.85,1,111
690,0.8136719,1.03,1,53
