episode_num,ep_ext_reward,ep_int_reward,ep_success,ep_steps
0,0.0,0.21,0,60
1,0.0,0.03,0,21
2,0.0,0.42,0,196
3,0.0,0.04,0,7
4,0.0,0.07,0,51
5,0.0,0.05,0,25
6,0.0,0.06,0,11
7,0.0,0.43,0,206
8,0.0,0.33,0,142
9,0.0,0.07,0,50
10,0.0,0.04,0,16
11,0.0,0.09,0,20
12,0.0,0.07,0,17
13,0.0,0.69,0,260
14,0.0,0.11,0,38
15,0.0,0.03,0,8
16,0.0,0.33,0,141
17,0.0,0.21,0,87
18,0.0,0.04,0,14
19,0.0,0.51,0,187
20,0.0,0.06,0,15
21,0.0,0.31,0,96
22,0.0,0.1,0,21
23,0.0,0.24,0,85
24,0.0,0.13,0,16
25,0.0,0.13,0,30
26,0.0,0.19,0,85
27,0.0,0.58,0,206
28,0.0,0.07,0,23
29,0.0,0.0,0,1
30,0.0,0.03,0,21
31,0.0,0.04,0,16
32,0.0,0.03,0,13
33,0.0,0.15,0,55
34,0.0,0.05,0,9
35,0.0,0.11,0,31
36,0.0,0.04,0,34
37,0.0,0.12,0,42
38,0.0,0.31,0,119
39,0.0,0.13,0,35
40,0.0,0.03,0,9
41,0.0,0.19,0,46
42,0.0,0.76,0,324
43,0.0,0.08,0,19
44,0.0,0.03,0,5
45,0.0,0.0,0,1
46,0.0,0.14,0,67
47,0.0,0.11,0,43
48,0.0,0.4,0,119
49,0.0,0.26,0,108
50,0.0,0.19,0,107
51,0.0,0.06,0,21
52,0.0,0.03,0,5
53,0.0,0.04,0,23
54,0.0,0.28,0,99
55,0.0,0.06,0,14
56,0.0,0.13,0,42
57,0.0,0.07,0,25
58,0.0,0.18,0,71
59,0.0,0.08,0,41
60,0.0,0.09,0,53
61,0.0,0.04,0,29
62,0.0,0.18,0,73
63,0.0,0.04,0,5
64,0.0,0.01,0,1
65,0.0,0.04,0,10
66,0.0,0.03,0,16
67,0.0,0.02,0,17
68,0.0,0.03,0,8
69,0.0,0.02,0,4
70,0.0,0.08,0,28
71,0.0,0.04,0,8
72,0.0,0.34,0,111
73,0.0,0.41,0,181
74,0.0,1.76,0,324
75,0.0,0.1,0,34
76,0.0,0.12,0,63
77,0.0,0.06,0,11
78,0.0,0.02,0,5
79,0.0,0.05,0,27
80,0.0,0.09,0,50
81,0.0,0.03,0,22
82,0.0,0.01,0,1
83,0.0,0.29,0,138
84,0.0,0.01,0,5
85,0.0,0.02,0,5
86,0.0,0.34,0,160
87,0.0,0.13,0,30
88,0.0,0.22,0,72
89,0.0,0.11,0,29
90,0.0,0.94,0,183
91,0.0,0.11,0,25
92,0.0,0.05,0,15
93,0.0,0.01,0,1
94,0.0,0.0,0,1
95,0.0,0.22,0,120
96,0.0,1.02,0,184
97,0.0,0.42,0,137
98,0.0,0.32,0,130
99,0.0,0.23,0,80
100,0.0,0.01,0,4
101,0.0,1.75,0,324
102,0.0,1.66,0,324
103,0.0,0.15,0,47
104,0.0,0.13,0,43
105,0.0,0.08,0,9
106,0.0,0.04,0,11
107,0.0,0.56,0,324
108,0.0,0.1,0,61
109,0.0,0.12,0,41
110,0.0,0.09,0,13
111,0.0,0.16,0,28
112,0.0,0.21,0,56
113,0.0,0.0,0,1
114,0.0,0.14,0,23
115,0.0,0.02,0,14
116,0.0,0.02,0,6
117,0.0,0.56,0,110
118,0.0,0.02,0,6
119,0.0,0.27,0,85
120,0.0,0.0,0,1
121,0.0,0.45,0,96
122,0.0,0.06,0,31
123,0.0,0.03,0,7
124,0.0,0.06,0,25
125,0.0,0.18,0,49
126,0.0,0.17,0,69
127,0.0,0.2,0,60
128,0.0,0.01,0,3
129,0.0,0.04,0,22
130,0.0,0.46,0,162
131,0.0,0.12,0,52
132,0.0,0.03,0,20
133,0.0,0.06,0,28
134,0.0,0.06,0,68
135,0.0,0.0,0,1
136,0.0,0.02,0,15
137,0.0,0.13,0,82
138,0.0,0.06,0,7
139,0.0,0.0,0,1
140,0.0,0.02,0,3
141,0.0,0.05,0,28
142,0.0,0.03,0,18
143,0.0,0.28,0,35
144,0.0,0.04,0,13
145,0.0,0.01,0,14
146,0.0,0.01,0,13
147,0.0,0.1,0,21
148,0.0,0.03,0,3
149,0.0,0.03,0,29
150,0.0,0.09,0,46
151,0.0,0.05,0,26
152,0.0,0.36,0,317
153,0.0,0.0,0,1
154,0.0,0.05,0,34
155,0.0,0.07,0,24
156,0.0,0.04,0,26
157,0.0,0.12,0,17
158,0.0,0.02,0,20
159,0.0,0.05,0,19
160,0.0,0.01,0,1
161,0.0,0.12,0,81
162,0.0,0.0,0,9
163,0.0,0.34,0,101
164,0.0,0.29,0,180
165,0.0,0.06,0,32
166,0.0,0.11,0,27
167,0.0,0.01,0,18
168,0.0,0.14,0,20
169,0.0,0.11,0,135
170,0.0,0.03,0,15
171,0.0,0.03,0,14
172,0.0,0.15,0,74
173,0.0,0.02,0,5
174,0.0,0.09,0,20
175,0.0,0.01,0,8
176,0.0,0.22,0,29
177,0.0,0.02,0,5
178,0.0,0.02,0,7
179,0.0,0.06,0,60
180,0.0,0.0,0,1
181,0.0,0.32,0,165
182,0.0,0.01,0,5
183,0.0,0.09,0,22
184,0.0,0.24,0,125
185,0.0,0.2,0,102
186,0.0,0.05,0,13
187,0.0,0.65,0,112
188,0.0,0.07,0,9
189,0.0,0.38,0,77
190,0.0,0.21,0,31
191,0.0,0.19,0,106
192,0.0,0.03,0,5
193,0.0,0.0,0,7
194,0.0,0.02,0,10
195,0.0,0.06,0,29
196,0.0,0.05,0,52
197,0.0,0.03,0,11
198,0.0,0.44,0,69
199,0.0,0.07,0,10
200,0.0,0.05,0,25
201,0.0,0.01,0,3
202,0.0,0.05,0,34
203,0.0,0.26,0,59
204,0.0,0.01,0,3
205,0.0,0.17,0,54
206,0.0,0.09,0,69
207,0.0,0.06,0,22
208,0.0,0.14,0,20
209,0.0,0.05,0,17
210,0.0,0.05,0,12
211,0.0,0.27,0,37
212,0.0,0.14,0,58
213,0.0,0.16,0,72
214,0.0,0.04,0,17
215,0.0,0.0,0,5
216,0.0,0.33,0,104
217,0.0,1.27,0,170
218,0.0,0.07,0,26
219,0.0,0.08,0,11
220,0.0,0.17,0,60
221,0.0,0.05,0,7
222,0.0,0.03,0,5
223,0.0,0.08,0,39
224,0.0,0.03,0,14
225,0.0,0.01,0,10
226,0.0,0.16,0,41
227,0.0,0.17,0,26
228,0.0,0.04,0,7
229,0.0,0.02,0,11
230,0.0,0.1,0,11
231,0.0,1.11,0,175
232,0.0,0.05,0,7
233,0.0,0.12,0,72
234,0.0,0.03,0,3
235,0.0,0.03,0,5
236,0.0,0.06,0,15
237,0.0,0.04,0,12
238,0.0,0.26,0,84
239,0.0,1.3,0,324
240,0.0,0.67,0,129
241,0.0,1.24,0,324
242,0.0,0.83,0,196
243,0.0,0.43,0,324
244,0.0,0.04,0,31
245,0.0,0.04,0,11
246,0.0,0.0,0,1
247,0.0,0.02,0,3
248,0.0,0.02,0,5
249,0.0,0.01,0,5
250,0.0,0.03,0,18
251,0.0,0.35,0,256
252,0.0,0.0,0,5
253,0.0,0.0,0,5
254,0.0,0.04,0,16
255,0.0,0.01,0,32
256,0.0,0.04,0,10
257,0.0,0.11,0,17
258,0.0,0.18,0,178
259,0.0,0.08,0,27
260,0.0,0.0,0,5
261,0.0,0.0,0,1
262,0.0,0.04,0,16
263,0.0,0.01,0,3
264,0.0,0.02,0,12
265,0.0,0.0,0,1
266,0.0,0.15,0,70
267,0.0,0.04,0,32
268,0.0,0.05,0,303
269,0.0,0.2,0,127
270,0.0,0.03,0,16
271,0.0,0.02,0,40
272,0.0,0.03,0,12
273,0.0,0.01,0,5
274,0.0,0.55,0,324
275,0.0,0.03,0,5
276,0.0,0.06,0,48
277,0.0,0.04,0,34
278,0.0,0.04,0,31
279,0.0,0.51,0,324
280,0.0,0.5,0,324
281,0.0,0.27,0,164
282,0.0,1.07,0,218
283,0.0,0.05,0,17
284,0.0,0.35,0,172
285,0.0,0.04,0,12
286,0.0,0.17,0,56
287,0.0,0.0,0,5
288,0.0,1.11,0,324
289,0.0,0.09,0,40
290,0.0,0.13,0,38
291,0.0,0.16,0,89
292,0.0,0.01,0,1
293,0.0,0.08,0,47
294,0.0,1.1,0,324
295,0.0,0.02,0,11
296,0.0,0.69,0,162
297,0.0,0.34,0,178
298,0.0,0.21,0,104
299,0.0,0.09,0,24
300,0.0,0.1,0,42
301,0.0,0.09,0,28
302,0.0,0.09,0,37
303,0.0,0.18,0,21
304,0.0,0.59,0,270
305,0.0,0.26,0,89
306,0.0,0.88,0,324
307,0.0,0.11,0,35
308,0.0,0.41,0,55
309,0.0,0.75,0,141
310,0.0,0.31,0,324
311,0.0,0.7,0,247
312,0.0,0.04,0,44
313,0.0,0.74,0,261
314,0.0,0.29,0,124
315,0.0,0.02,0,3
316,0.0,0.49,0,324
317,0.0,0.11,0,91
318,0.0,0.91,0,324
319,0.0,0.26,0,74
320,0.0,0.16,0,40
321,0.0,0.48,0,324
322,0.0,0.12,0,48
323,0.0,0.03,0,3
324,0.0,0.21,0,75
325,0.0,0.06,0,20
326,0.0,0.59,0,138
327,0.0,0.1,0,49
328,0.0,0.5,0,324
329,0.0,0.2,0,82
330,0.0,0.47,0,324
331,0.0,0.02,0,57
332,0.0,1.02,0,324
333,0.0,0.6,0,324
334,0.0,0.68,0,262
335,0.0,0.17,0,232
336,0.0,0.01,0,1
337,0.0,0.08,0,63
338,0.0,0.71,0,324
339,0.0,0.05,0,56
340,0.0,0.62,0,324
341,0.0,0.09,0,11
342,0.0,0.8,0,324
343,0.0,0.01,0,1
344,0.0,0.01,0,5
345,0.0,0.6,0,324
346,0.0,0.0,0,1
347,0.0,0.05,0,54
348,0.0,0.03,0,45
349,0.0,0.08,0,20
350,0.0,0.0,0,1
351,0.0,0.1,0,13
352,0.0,0.02,0,3
353,0.0,0.03,0,34
354,0.0,0.02,0,18
355,0.0,0.0,0,3
356,0.0,0.83,0,324
357,0.0,0.0,0,1
358,0.0,0.0,0,1
359,0.0,0.01,0,5
360,0.0,0.0,0,3
361,0.50555557,0.2,1,178
362,0.8666667,0.12,1,48
363,0.0,0.29,0,82
364,0.0,0.56,0,157
365,0.0,0.02,0,3
366,0.0,0.47,0,252
367,0.0,0.35,0,70
368,0.0,0.72,0,206
369,0.0,0.0,0,13
370,0.0,0.07,0,18
371,0.0,0.05,0,16
372,0.0,0.01,0,1
373,0.0,0.02,0,5
374,0.0,0.11,0,45
375,0.0,0.02,0,3
376,0.0,0.08,0,70
377,0.0,0.48,0,171
378,0.0,0.02,0,5
379,0.0,0.25,0,324
380,0.0,0.04,0,22
381,0.0,0.03,0,15
382,0.0,0.38,0,324
383,0.0,0.04,0,21
384,0.0,0.3,0,60
385,0.0,0.01,0,5
386,0.0,0.01,0,5
387,0.0,0.17,0,34
388,0.0,0.01,0,15
389,0.0,0.17,0,28
390,0.0,0.02,0,8
391,0.0,0.18,0,44
392,0.0,0.06,0,15
393,0.0,0.03,0,16
394,0.0,0.01,0,1
395,0.0,0.04,0,18
396,0.0,0.05,0,46
397,0.0,0.27,0,239
398,0.0,0.12,0,111
399,0.0,0.06,0,14
400,0.0,0.02,0,27
401,0.0,0.09,0,51
402,0.0,0.01,0,1
403,0.0,0.44,0,212
404,0.0,0.22,0,53
405,0.0,0.31,0,118
406,0.0,0.58,0,324
407,0.0,0.03,0,14
408,0.0,0.01,0,5
409,0.0,0.34,0,104
410,0.0,0.03,0,46
411,0.0,0.07,0,80
412,0.0,0.08,0,19
413,0.0,0.27,0,103
414,0.0,0.0,0,1
415,0.0,0.28,0,158
416,0.0,0.55,0,130
417,0.0,0.03,0,7
418,0.0,0.2,0,69
419,0.0,0.08,0,74
420,0.0,0.01,0,5
421,0.0,0.01,0,1
422,0.0,0.1,0,36
423,0.0,0.33,0,207
424,0.0,0.02,0,25
425,0.0,0.03,0,9
426,0.0,0.01,0,9
427,0.0,0.25,0,87
428,0.0,0.46,0,151
429,0.0,0.07,0,20
430,0.0,0.13,0,113
431,0.0,0.01,0,3
432,0.0,0.21,0,68
433,0.0,0.53,0,136
434,0.0,0.66,0,324
435,0.0,0.12,0,72
436,0.0,0.13,0,60
437,0.0,0.01,0,1
438,0.0,0.13,0,28
439,0.0,0.0,0,5
440,0.0,0.07,0,63
441,0.0,0.04,0,30
442,0.0,0.06,0,25
443,0.0,0.09,0,67
444,0.0,0.09,0,50
445,0.0,0.26,0,95
446,0.0,0.36,0,51
447,0.0,0.03,0,6
448,0.0,0.07,0,51
449,0.0,0.12,0,77
450,0.0,0.05,0,7
451,0.0,0.12,0,102
452,0.0,0.19,0,95
453,0.0,0.01,0,11
454,0.0,0.32,0,193
455,0.0,0.4,0,324
456,0.0,0.35,0,181
457,0.0,0.02,0,3
458,0.0,0.02,0,6
459,0.0,0.12,0,71
460,0.0,0.52,0,229
461,0.0,0.05,0,25
462,0.0,0.04,0,20
463,0.0,0.11,0,22
464,0.0,0.06,0,29
465,0.0,0.01,0,1
466,0.0,0.04,0,44
467,0.0,0.1,0,22
468,0.0,0.01,0,7
469,0.0,0.09,0,25
470,0.0,0.04,0,7
471,0.0,0.06,0,10
472,0.0,0.07,0,23
473,0.0,0.06,0,42
474,0.0,0.17,0,74
475,0.0,0.26,0,116
476,0.0,0.43,0,183
477,0.0,0.19,0,71
478,0.0,0.02,0,3
479,0.0,0.01,0,1
480,0.0,0.13,0,43
481,0.0,0.03,0,8
482,0.0,0.04,0,15
483,0.0,0.04,0,19
484,0.0,0.09,0,19
485,0.0,0.08,0,9
486,0.0,0.11,0,52
487,0.0,0.02,0,3
488,0.0,0.05,0,24
489,0.0,0.04,0,21
490,0.0,0.17,0,85
491,0.0,0.09,0,41
492,0.0,0.07,0,23
493,0.0,0.05,0,10
494,0.0,0.08,0,18
495,0.0,0.14,0,24
496,0.0,0.01,0,3
497,0.0,0.04,0,34
498,0.0,0.0,0,1
499,0.0,0.06,0,12
500,0.0,0.1,0,46
501,0.0,0.17,0,52
502,0.0,0.23,0,53
503,0.0,0.05,0,42
504,0.0,0.05,0,34
505,0.0,0.17,0,100
506,0.0,0.01,0,12
507,0.0,0.01,0,1
508,0.0,0.31,0,70
509,0.0,0.07,0,43
510,0.0,0.04,0,11
511,0.0,0.05,0,8
512,0.0,0.01,0,1
513,0.0,0.21,0,49
514,0.0,0.02,0,13
515,0.0,0.04,0,12
516,0.0,0.04,0,14
517,0.0,0.04,0,15
518,0.0,0.03,0,14
519,0.0,0.01,0,1
520,0.0,0.44,0,261
521,0.0,0.23,0,41
522,0.0,0.1,0,22
523,0.0,0.05,0,14
524,0.0,0.3,0,77
525,0.0,0.09,0,21
526,0.0,0.13,0,36
527,0.0,0.32,0,66
528,0.0,0.07,0,22
529,0.0,0.09,0,28
530,0.0,0.07,0,16
531,0.0,0.02,0,5
532,0.0,0.27,0,124
533,0.0,0.01,0,5
534,0.0,0.09,0,44
535,0.0,0.13,0,39
536,0.0,0.09,0,30
537,0.0,0.22,0,77
538,0.0,0.07,0,31
539,0.0,0.05,0,37
540,0.0,0.05,0,17
541,0.0,0.08,0,67
542,0.0,0.0,0,3
543,0.0,0.03,0,5
544,0.0,0.06,0,31
545,0.0,0.07,0,55
546,0.0,0.01,0,5
547,0.0,0.12,0,64
548,0.0,0.04,0,12
549,0.0,0.14,0,67
550,0.0,0.0,0,5
551,0.0,0.84,0,199
552,0.0,0.33,0,69
553,0.0,0.0,0,1
554,0.0,0.02,0,6
555,0.0,0.14,0,42
556,0.0,0.02,0,11
557,0.0,0.04,0,15
558,0.0,0.17,0,25
559,0.0,0.14,0,53
560,0.0,0.0,0,1
561,0.0,0.01,0,5
562,0.85833335,0.07,1,51
563,0.0,0.01,0,3
564,0.0,0.01,0,3
565,0.0,0.13,0,72
566,0.0,0.07,0,17
567,0.0,0.02,0,3
568,0.0,0.06,0,9
569,0.0,0.08,0,45
570,0.0,0.15,0,34
571,0.0,0.12,0,44
572,0.0,0.12,0,65
573,0.0,0.02,0,3
574,0.0,0.23,0,43
