episode_num,ep_ext_reward,ep_int_reward,ep_success,ep_steps
0,0.0,0.41,0,15
1,0.0,0.36,0,20
2,0.0,1.36,0,92
3,0.0,2.0,0,140
4,0.0,0.93,0,51
5,0.0,0.03,0,1
6,0.0,0.16,0,5
7,0.0,0.53,0,38
8,0.0,0.16,0,9
9,0.0,0.15,0,8
10,0.0,0.93,0,65
11,0.0,0.4,0,25
12,0.0,0.09,0,5
13,0.0,0.36,0,16
14,0.0,1.3,0,74
15,0.0,1.23,0,68
16,0.0,3.32,0,196
17,0.0,0.47,0,34
18,0.0,0.02,0,1
19,0.0,0.34,0,21
20,0.0,0.49,0,22
21,0.0,0.29,0,14
22,0.9035714,0.46,1,21
23,0.0,0.05,0,2
24,0.0,0.72,0,48
25,0.0,0.38,0,29
26,0.0,1.35,0,50
27,0.0,0.19,0,5
28,0.0,0.62,0,32
29,0.0,0.07,0,3
30,0.0,0.39,0,25
31,0.0,3.53,0,177
32,0.0,0.7,0,26
33,0.0,0.66,0,34
34,0.0,1.21,0,41
35,0.0,0.65,0,34
36,0.0,2.36,0,110
37,0.0,2.04,0,123
38,0.0,4.11,0,196
39,0.0,0.37,0,19
40,0.0,1.83,0,97
41,0.0,3.75,0,196
42,0.0,4.41,0,196
43,0.0,3.97,0,196
44,0.0,3.62,0,196
45,0.0,3.36,0,196
46,0.0,3.82,0,196
47,0.0,3.46,0,196
48,0.0,3.54,0,196
49,0.0,3.5,0,196
50,0.0,3.98,0,196
51,0.0,5.16,0,196
52,0.0,3.18,0,196
53,0.0,3.54,0,196
54,0.0,3.52,0,196
55,0.0,3.6,0,196
56,0.0,3.46,0,196
57,0.0,3.48,0,196
58,0.0,4.7,0,196
59,0.0,3.6,0,196
60,0.0,3.36,0,196
61,0.0,3.62,0,196
62,0.0,2.86,0,196
63,0.0,2.42,0,196
64,0.0,2.52,0,196
65,0.0,2.3,0,196
66,0.0,3.42,0,196
67,0.0,2.84,0,196
68,0.0,3.33,0,196
69,0.0,3.04,0,196
70,0.0,0.35,0,18
71,0.0,3.02,0,196
72,0.0,3.12,0,196
73,0.0,3.17,0,196
74,0.0,2.58,0,196
75,0.0,2.84,0,196
76,0.0,4.53,0,196
77,0.0,2.72,0,196
78,0.0,2.9,0,196
79,0.0,2.2,0,196
80,0.0,2.3,0,196
81,0.0,2.56,0,196
82,0.0,3.35,0,196
83,0.0,2.42,0,196
84,0.0,2.89,0,196
85,0.0,2.71,0,196
86,0.0,1.92,0,196
87,0.0,2.58,0,196
88,0.0,2.06,0,196
89,0.0,2.92,0,196
90,0.0,2.96,0,196
91,0.0,2.98,0,196
92,0.0,3.53,0,196
93,0.0,2.8,0,196
94,0.0,2.64,0,196
95,0.0,3.65,0,196
96,0.0,3.71,0,196
97,0.0,3.49,0,196
98,0.0,2.44,0,196
99,0.0,2.96,0,196
100,0.0,3.08,0,196
101,0.0,3.02,0,196
102,0.0,2.6,0,196
103,0.0,2.86,0,196
104,0.0,3.46,0,196
105,0.0,2.9,0,196
106,0.0,2.71,0,196
107,0.0,2.94,0,196
108,0.0,2.44,0,196
109,0.0,4.07,0,196
110,0.0,5.01,0,196
111,0.0,4.7,0,196
112,0.0,4.84,0,196
113,0.0,5.26,0,196
114,0.0,5.07,0,196
115,0.0,3.08,0,196
116,0.0,4.0,0,196
117,0.0,3.82,0,196
118,0.0,3.89,0,196
119,0.0,3.62,0,196
120,0.0,3.08,0,196
121,0.0,3.2,0,196
122,0.0,3.62,0,196
123,0.0,3.16,0,196
124,0.0,3.42,0,196
125,0.0,3.39,0,196
126,0.0,3.62,0,196
127,0.0,2.4,0,196
128,0.0,4.39,0,196
129,0.0,3.32,0,196
130,0.0,2.34,0,196
131,0.0,3.8,0,196
132,0.0,3.92,0,196
133,0.0,3.52,0,196
134,0.0,3.9,0,196
135,0.0,3.7,0,196
136,0.72908163,1.09,1,59
137,0.0,0.04,0,196
138,0.0,0.2,0,80
139,0.0,0.04,0,196
140,0.0,0.04,0,196
141,0.0,0.04,0,196
142,0.0,0.04,0,196
143,0.0,3.94,0,196
144,0.0,0.12,0,196
145,0.0,0.07,0,196
146,0.0,0.18,0,196
147,0.0,0.14,0,196
148,0.0,4.0,0,196
149,0.0,3.88,0,196
150,0.0,3.76,0,196
151,0.0,4.24,0,196
152,0.0,3.88,0,196
153,0.0,1.88,0,196
154,0.0,2.16,0,196
155,0.0,2.5,0,196
156,0.0,1.92,0,196
157,0.0,2.5,0,196
158,0.0,3.24,0,196
159,0.0,3.98,0,196
160,0.0,2.56,0,196
161,0.0,3.55,0,196
162,0.0,3.92,0,196
163,0.0,3.96,0,196
164,0.0,1.48,0,196
165,0.0,1.84,0,196
166,0.0,1.99,0,196
167,0.0,3.9,0,196
168,0.0,1.28,0,196
169,0.0,2.96,0,196
170,0.0,4.25,0,196
171,0.0,3.04,0,196
172,0.0,3.94,0,196
173,0.0,3.04,0,196
174,0.0,3.18,0,196
175,0.0,4.2,0,196
176,0.0,3.26,0,196
177,0.0,3.38,0,196
178,0.0,3.24,0,196
179,0.0,2.59,0,196
180,0.0,1.22,0,196
181,0.0,1.43,0,196
182,0.0,1.56,0,196
183,0.0,1.3,0,196
184,0.0,0.88,0,196
185,0.0,1.7,0,196
186,0.0,0.9,0,196
187,0.0,0.9,0,196
188,0.0,0.74,0,196
189,0.0,1.93,0,196
190,0.0,1.98,0,196
191,0.0,2.81,0,196
192,0.0,1.58,0,196
193,0.0,2.12,0,196
194,0.0,1.78,0,196
195,0.0,2.25,0,196
