episode_num,ep_ext_reward,ep_int_reward,ep_success,ep_steps
0,0.0,3.7,0,324
1,0.20555556,4.2,1,286
2,0.2638889,4.46,1,265
3,0.64166665,2.31,1,129
4,0.29722223,4.11,1,253
5,0.0,5.3,0,324
6,0.0,4.38,0,324
7,0.0,4.19,0,324
8,0.0,9.41,0,324
9,0.0,5.54,0,324
10,0.0,6.76,0,324
11,0.0,5.11,0,324
12,0.0,4.58,0,324
13,0.0,5.06,0,324
14,0.0,3.97,0,324
15,0.0,3.85,0,324
16,0.0,4.1,0,324
17,0.0,3.31,0,324
18,0.0,7.05,0,324
19,0.21388888,5.05,1,283
20,0.0,3.26,0,324
21,0.0,3.92,0,324
22,0.0,4.18,0,324
23,0.0,4.03,0,324
24,0.0,4.53,0,324
25,0.0,3.49,0,324
26,0.0,3.75,0,324
27,0.0,5.91,0,324
28,0.0,4.61,0,324
29,0.0,2.44,0,324
30,0.0,3.89,0,324
31,0.0,3.13,0,324
32,0.20833333,3.31,1,285
33,0.0,2.76,0,324
34,0.0,1.86,0,324
35,0.0,3.32,0,324
36,0.0,3.06,0,324
37,0.0,4.04,0,324
38,0.0,2.7,0,324
39,0.0,3.2,0,324
40,0.0,3.41,0,324
41,0.0,3.64,0,324
42,0.0,7.09,0,324
43,0.0,0.59,0,324
44,0.0,1.39,0,324
45,0.0,1.94,0,324
46,0.0,1.97,0,324
47,0.0,0.43,0,324
48,0.0,2.09,0,324
49,0.0,9.54,0,324
50,0.0,8.61,0,324
51,0.0,8.86,0,324
52,0.0,2.52,0,324
53,0.0,2.17,0,324
54,0.0,2.3,0,324
55,0.0,2.7,0,324
56,0.85833335,0.73,1,51
57,0.0,3.14,0,324
58,0.0,1.25,0,324
59,0.8611111,0.81,1,50
60,0.0,1.53,0,324
61,0.0,3.53,0,324
62,0.0,3.33,0,324
63,0.0,3.89,0,324
64,0.10277778,5.93,1,323
65,0.0,6.91,0,324
66,0.0,2.29,0,324
67,0.0,4.53,0,324
68,0.0,2.31,0,324
69,0.0,4.79,0,324
70,0.19166666,5.27,1,291
71,0.0,6.58,0,324
72,0.0,7.67,0,324
73,0.0,4.41,0,324
74,0.0,5.61,0,324
75,0.0,7.25,0,324
76,0.0,3.56,0,324
77,0.0,8.13,0,324
78,0.0,7.5,0,324
79,0.0,7.18,0,324
80,0.0,6.81,0,324
81,0.0,2.03,0,324
82,0.0,8.33,0,324
83,0.0,6.36,0,324
84,0.0,5.56,0,324
85,0.0,7.4,0,324
86,0.0,9.1,0,324
87,0.0,3.59,0,324
88,0.0,4.41,0,324
89,0.0,3.19,0,324
90,0.0,1.76,0,324
91,0.0,4.94,0,324
92,0.0,7.35,0,324
93,0.0,5.98,0,324
94,0.0,6.33,0,324
95,0.0,6.98,0,324
96,0.0,6.42,0,324
97,0.0,6.4,0,324
98,0.0,6.46,0,324
99,0.0,6.28,0,324
100,0.0,2.67,0,324
101,0.0,4.33,0,324
102,0.0,5.41,0,324
103,0.0,5.98,0,324
104,0.0,6.28,0,324
105,0.0,6.18,0,324
106,0.0,6.22,0,324
107,0.0,6.24,0,324
108,0.0,6.4,0,324
109,0.0,6.36,0,324
110,0.0,5.95,0,324
111,0.0,8.45,0,324
112,0.0,8.68,0,324
113,0.0,7.54,0,324
114,0.0,1.48,0,324
115,0.0,2.71,0,324
116,0.0,2.35,0,324
117,0.76944447,1.07,1,83
118,0.0,3.25,0,324
119,0.0,2.98,0,324
120,0.0,3.15,0,324
121,0.0,4.43,0,324
122,0.0,3.66,0,324
123,0.0,3.67,0,324
124,0.0,4.26,0,324
125,0.0,3.95,0,324
126,0.0,3.81,0,324
127,0.0,4.02,0,324
128,0.0,4.77,0,324
129,0.0,2.43,0,324
130,0.0,3.45,0,324
131,0.0,4.66,0,324
132,0.0,4.59,0,324
133,0.0,5.18,0,324
134,0.0,3.39,0,324
135,0.0,3.91,0,324
136,0.0,5.32,0,324
137,0.0,4.87,0,324
138,0.0,3.56,0,324
139,0.0,3.8,0,324
140,0.0,2.88,0,324
141,0.0,2.92,0,324
142,0.0,3.11,0,324
143,0.0,5.09,0,324
144,0.0,4.13,0,324
145,0.0,2.99,0,324
146,0.0,5.78,0,324
147,0.0,5.78,0,324
148,0.0,5.86,0,324
149,0.0,2.59,0,324
150,0.0,2.62,0,324
151,0.0,3.15,0,324
152,0.0,4.4,0,324
153,0.0,4.92,0,324
154,0.0,2.75,0,324
155,0.0,2.21,0,324
156,0.0,4.88,0,324
157,0.0,4.81,0,324
158,0.0,3.33,0,324
159,0.0,5.71,0,324
160,0.0,3.8,0,324
161,0.0,2.52,0,324
162,0.0,2.27,0,324
163,0.0,4.76,0,324
164,0.0,2.81,0,324
165,0.0,3.07,0,324
166,0.0,4.82,0,324
167,0.0,2.44,0,324
168,0.0,5.39,0,324
169,0.0,5.2,0,324
170,0.0,5.59,0,324
171,0.0,1.99,0,324
172,0.0,5.24,0,324
173,0.0,3.47,0,324
174,0.0,3.8,0,324
175,0.0,3.17,0,324
176,0.0,3.05,0,324
177,0.0,7.26,0,324
178,0.0,2.92,0,324
179,0.0,1.45,0,324
180,0.0,0.73,0,324
181,0.0,1.69,0,324
182,0.0,1.35,0,324
183,0.0,3.39,0,324
184,0.0,2.59,0,324
185,0.0,6.21,0,324
186,0.0,4.1,0,324
187,0.0,2.51,0,324
188,0.0,3.77,0,324
189,0.0,5.9,0,324
190,0.0,5.19,0,324
191,0.0,2.63,0,324
192,0.0,3.54,0,324
193,0.0,4.34,0,324
194,0.0,2.29,0,324
195,0.0,3.56,0,324
196,0.0,3.2,0,324
197,0.0,3.51,0,324
198,0.0,3.59,0,324
199,0.0,2.76,0,324
200,0.0,5.31,0,324
201,0.0,5.14,0,324
202,0.0,4.7,0,324
203,0.0,4.29,0,324
204,0.0,4.23,0,324
205,0.0,2.92,0,324
206,0.0,5.02,0,324
207,0.0,3.9,0,324
208,0.0,2.61,0,324
209,0.0,3.77,0,324
210,0.0,4.52,0,324
211,0.0,2.49,0,324
212,0.0,4.76,0,324
213,0.0,2.87,0,324
214,0.0,6.32,0,324
215,0.0,8.85,0,324
216,0.0,5.01,0,324
217,0.0,6.44,0,324
218,0.0,9.53,0,324
219,0.0,6.48,0,324
220,0.0,6.42,0,324
221,0.0,6.48,0,324
222,0.0,3.38,0,324
223,0.0,3.94,0,324
224,0.0,8.31,0,324
225,0.0,0.78,0,324
226,0.0,0.66,0,324
227,0.0,1.06,0,324
228,0.0,6.16,0,324
229,0.0,5.6,0,324
230,0.0,6.46,0,324
231,0.0,5.62,0,324
232,0.0,5.42,0,324
233,0.0,7.94,0,324
234,0.0,4.05,0,324
235,0.0,3.14,0,324
236,0.0,2.54,0,324
237,0.0,7.58,0,324
238,0.0,0.18,0,324
239,0.0,0.21,0,324
240,0.0,0.0,0,324
241,0.0,1.32,0,324
242,0.0,4.11,0,324
243,0.0,0.09,0,324
244,0.0,4.86,0,324
245,0.0,4.22,0,324
246,0.0,4.03,0,324
247,0.0,2.3,0,324
248,0.0,1.82,0,324
249,0.0,1.96,0,324
250,0.0,3.9,0,324
251,0.0,3.41,0,324
252,0.0,5.6,0,324
253,0.0,5.96,0,324
254,0.0,6.07,0,324
255,0.0,7.25,0,324
256,0.0,5.85,0,324
257,0.0,1.11,0,324
258,0.0,6.2,0,324
259,0.0,11.69,0,324
260,0.0,2.25,0,324
261,0.0,5.29,0,324
262,0.0,8.37,0,324
263,0.0,2.55,0,324
264,0.0,3.06,0,324
265,0.0,6.83,0,324
266,0.0,0.81,0,324
267,0.0,6.36,0,324
268,0.0,6.42,0,324
269,0.0,7.89,0,324
270,0.0,10.55,0,324
271,0.0,12.24,0,324
272,0.0,9.74,0,324
273,0.75277776,2.67,1,89
274,0.0,8.7,0,324
275,0.0,7.78,0,324
276,0.0,0.61,0,324
277,0.0,1.23,0,324
278,0.0,7.33,0,324
279,0.0,2.2,0,324
280,0.0,0.68,0,324
281,0.0,2.16,0,324
282,0.0,2.22,0,324
283,0.0,3.75,0,324
284,0.0,2.85,0,324
285,0.0,3.7,0,324
286,0.0,0.26,0,324
287,0.0,0.11,0,324
288,0.0,0.5,0,324
289,0.0,0.01,0,324
290,0.0,0.02,0,324
291,0.0,0.26,0,324
292,0.0,0.0,0,324
293,0.0,0.12,0,324
294,0.0,0.78,0,324
295,0.0,0.02,0,324
296,0.0,0.02,0,324
297,0.0,0.02,0,324
298,0.0,0.02,0,324
299,0.0,0.14,0,324
300,0.0,0.04,0,324
301,0.0,0.04,0,324
302,0.0,0.04,0,324
303,0.0,0.0,0,324
304,0.0,0.0,0,324
305,0.0,6.74,0,324
306,0.0,6.39,0,324
307,0.0,0.19,0,324
308,0.0,1.49,0,324
309,0.0,7.96,0,324
310,0.0,8.26,0,324
311,0.0,2.43,0,324
312,0.0,4.36,0,324
313,0.0,3.98,0,324
314,0.0,2.87,0,324
315,0.0,3.37,0,324
316,0.0,1.45,0,324
317,0.0,4.77,0,324
318,0.0,1.75,0,324
319,0.0,1.59,0,324
320,0.0,4.76,0,324
321,0.0,1.97,0,324
322,0.0,1.74,0,324
323,0.0,1.73,0,324
324,0.0,6.63,0,324
325,0.0,4.16,0,324
326,0.0,8.26,0,324
327,0.0,5.63,0,324
328,0.0,2.44,0,324
329,0.0,2.86,0,324
330,0.0,3.9,0,324
331,0.0,7.25,0,324
332,0.0,6.42,0,324
333,0.0,2.36,0,324
334,0.0,1.71,0,324
335,0.0,1.02,0,324
336,0.0,1.44,0,324
337,0.0,0.29,0,324
338,0.0,0.85,0,324
339,0.0,3.05,0,324
340,0.0,3.8,0,324
341,0.0,3.48,0,324
342,0.4,2.63,1,216
343,0.0,2.88,0,324
344,0.0,2.08,0,324
345,0.0,2.46,0,324
346,0.0,3.09,0,324
347,0.0,1.77,0,324
348,0.0,4.23,0,324
349,0.0,4.87,0,324
350,0.0,2.6,0,324
351,0.0,3.48,0,324
352,0.0,3.71,0,324
353,0.0,2.14,0,324
354,0.0,3.29,0,324
355,0.0,1.11,0,324
356,0.0,4.24,0,324
357,0.0,4.18,0,324
358,0.0,2.94,0,324
359,0.0,0.53,0,324
360,0.0,3.0,0,324
361,0.0,3.56,0,324
362,0.0,2.21,0,324
363,0.0,2.2,0,324
364,0.0,3.12,0,324
365,0.0,1.23,0,324
366,0.0,4.33,0,324
367,0.0,3.73,0,324
368,0.0,4.3,0,324
369,0.0,3.83,0,324
370,0.0,4.11,0,324
371,0.0,4.14,0,324
372,0.0,3.68,0,324
373,0.0,4.18,0,324
374,0.0,3.11,0,324
375,0.0,2.93,0,324
